Material,SALDO,C Promedio S/.,COSTO,C Promedio US$,PRECIO PUBLICO
JGO D/LLAVES MIXTAS PESADAS                                                                         ,3,30.21,S/ 35.65,9.59,
JGO D/LLAVES TORX EST/PLST X 9 PZAS TRUPER                                                          ,3,7.43,S/ 8.76,2.36,
"JGO DADOS MM ENCASTRE 1/2"" X 8 PZAS TRUPER                                                          ",2,16.39,S/ 19.33,5.20,
"JGO DADOS PULG ENCASTRE 1/2"" X 8 PZAS TRUPER                                                        ",2,16.86,S/ 19.89,5.35,
JGO DE 13 LLAVES ALLENS STANDAR-TRUPER                                                              ,5,11.36,S/ 13.40,3.61,
"JGO DE 7 LLAVES TORX, LARGAS ORGANIZADOR                                                            ",6,11.97,S/ 14.13,3.80,
"JGO DE 9 LLAVES TORX, LARGAS ORGANIZADOR                                                            ",6,17.54,S/ 20.70,5.57,
JGO DE ACOPLE Y CONECTORES RAPIDOS DE LATON 6                                                       ,3,27.99,S/ 33.03,8.89,
JGO DE ESCOBILLA NRO 07                                                                             ,3,2.58,S/ 3.05,0.82,
JGO DE ESCOBILLAS P/LIJAR                                                                           ,3,8.96,S/ 10.57,2.84,
JGO DE LIMATON 3X140MM 10 PZS KAMASA                                                                ,6,12.54,S/ 14.80,3.18,S/ 25.00
JGO DE LLAVE ALLENS KAMASA (10UNID)                                                                 ,9,10.09,S/ 12.29,2.98,
JGO DE PIEDRAS X 10PZAS                                                                             ,3,11.96,S/ 14.11,3.80,
JGO DE PISTOLA SOPLETEADORA C/2BOQUILLAS                                                            ,3,17.32,S/ 20.44,4.39,S/ 32.00
JGO DE PUNTA DE DESARMADORES KAMASA 10PZAS                                                                ,6,7.88,S/ 9.30,2.00,S/ 20.00
JGO DEENCHUFE MENEKE 3+1 X 16AMP                                                                    ,4,50.85,S/ 60.00,16.15,
"JGO MECHA DE PALETA 1/2""X5"" TRUPER                                                                  ",2,13.59,S/ 16.04,4.32,
JGO PIEDRA P/AFILAR                                                                                 ,6,3.50,S/ 4.13,1.11,
JUEGO DE DESARMADOR AISLADO 6 PZAS                                                                  ,0,13.56,S/ 16.00,4.31,
JUEGO DE TRAMPA BOTELLA FAVINSA                                                                     ,-2,0.00,S/ 6.50,0.00,S/ 15.00
JUEGO DE TRAMPA BOTELLA SANIFER                                                                     ,6,4.24,S/ 5.00,1.35,
JUEGO PARA INSTALAR CERRADURAS 3 PZAS                                                               ,3,7.30,S/ 8.61,2.32,
JUEGO PARA INSTALAR CERRADURAS 5 PZAS PRETUL                                                        ,3,7.30,S/ 8.61,2.32,
JUEGOS DE ESCOBILLA PARA TALADRO KAMASA                                                             ,,,S/ 11.00,,
JUEGOS DE ESCOBILLA PARA TALADRO KAMASA                                                             ,1,9.32,S/ 11.00,2.96,
KIT DE ACCESORIOS ADHESIVOS BLANCO TREBOL                                                           ,11,38.98,S/ 85.90,12.38,
KIT DE ACCESORIOS ADHESIVOS BONE TREBOL                                                             ,1,55.08,S/ 65.00,17.49,
KIT EXTENSION DADOS X 3UNID                                                                         ,3,15.25,S/ 18.00,4.84,
KIT TRAMPA PLAVATORIO TREBOL,,,,,S/ 17.00
KRESSO AMERICANO 1 GLN. LOSARO                                                                      ,7,6.93,S/ 8.17,2.20,
KRESSO AMERICANO 1 LT. LOSARO                                                                       ,29,2.58,S/ 3.04,0.82,
KRESSO DESINFECTANTE 1 LT. LOSARO                                                                   ,-2,0.00,S/ 0.00,0.00,
KRESSO DESINFECTANTE 1 LT. MARTELL                                                                  ,7,2.55,S/ 3.01,0.81,
KRESSO DESINFECTANTE 1GLN. MARTELL                                                                  ,-1,0.00,S/ 0.00,0.00,
KRESSO DESINFECTANTE 3.5LT. AROMIX                                                                  ,11,5.19,S/ 6.12,1.65,
KRESSO DESINFECTANTE GLN.                                                                           ,9,8.05,S/ 9.50,2.04,
KRESSO DESINFECTANTE LT.                                                                            ,12,2.37,S/ 2.80,0.60,
KRESSO DESINFECTANTE LT. AROLIT                                                                     ,9,1.69,S/ 2.00,0.54,
KRESSO DESINFECTANTE LT. AROMIX                                                                     ,5,1.69,S/ 2.00,0.43,
LACA SELLADORA 1/4GLN TAMSA,,,S/ 14.00,,
LACA SELLADORA CARPINTERO 1/4 GLN. JHOMERON                                                         ,4,9.32,S/ 11.00,2.96,
LACA SELLADORA CLASICA 1 GLN. PARACAS                                                               ,6,35.88,S/ 42.33,11.39,
LADRILLO HUECO 12X30X30 LISO KALLPA                                                                 ,2675,1.58,S/ 1.86,0.40,
LADRILLO HUECO 12X30X30 LISO PIRAMIDE                                                               ,2836,1.96,S/ 2.32,0.62,
LADRILLO HUECO 12X30X30 RAYA ARCIMAX                                                                ,820,2.16,S/ 2.55,0.69,
LADRILLO HUECO 12X30X30 RAYA PIRAMIDE                                                               ,6686,2.05,S/ 2.42,0.52,
LADRILLO HUECO 15X30X30 ARCIMAX                                                                     ,185,2.37,S/ 2.80,0.75,
LADRILLO HUECO 15X30X30 LISO PIRAMIDE                                                               ,-1333,1.84,S/ 2.17,0.58,
LADRILLO HUECO 15X30X30 RAYA KALLPA                                                                 ,500,1.95,S/ 2.30,0.62,
LADRILLO HUECO 15X30X30 RAYA PIRAMIDE                                                               ,13768,2.14,S/ 2.53,0.54,
LADRILLO HUECO 8X30X30 ARCIMAX                                                                      ,-320,0.00,S/ 0.00,0.00,
LADRILLO HUECO 8X30X30 KALLPA                                                                       ,50,1.23,S/ 1.45,0.39,
LADRILLO KING KONG 15 HUECOS                                                                        ,4200,0.37,S/ 0.44,0.12,
LADRILLO KING KONG 15 HUECOS KALLPA                                                                 ,4050,0.49,S/ 0.58,0.12,
LADRILLO KING KONG 18 HUECOS ARCIMAX                                                                ,73,0.64,S/ 0.76,0.20,
LADRILLO KING KONG 18 HUECOS KALLPA                                                                 ,12072,0.54,S/ 0.64,0.14,
LADRILLO KING KONG 18 HUECOS PIRAMIDE                                                               ,6755,0.71,S/ 0.84,0.18,
LADRILLO KING KONG CARAVISTA PIRAMIDE                                                               ,-720,0.00,S/ 0.00,0.00,
LADRILLO KING KONG COCIDO 1RA.                                                                      ,-310,0.00,S/ 0.00,0.00,
LADRILLO PANDERETA LISA                                                                             ,2500,0.46,S/ 0.54,0.15,
LADRILLO PANDERETA LISA ARCIMAX                                                                     ,-1547,0.56,S/ 0.66,0.18,
LADRILLO PANDERETA LISA KALLPA                                                                      ,1538,0.46,S/ 0.54,0.12,
LADRILLO PANDERETA LISA SAN JUAN                                                                    ,-500,0.00,S/ 0.00,0.00,
LADRILLO PANDERETA RAYA ARCIMAX                                                                     ,2750,0.56,S/ 0.66,0.18,
LADRILLO PANDERETA RAYA KALLPA                                                                      ,5500,0.47,S/ 0.55,0.12,
LADRILLO PANDERETA RAYA PIRAMIDE                                                                    ,295,0.60,S/ 0.70,0.15,
LADRILLO PASTELERO PIRAMIDE                                                                         ,-60,1.53,S/ 1.80,0.48,
LAMPA CUCHARA ECOLOGICA TRAMONTINA                                                                  ,12,26.28,S/ 31.00,8.35,S/ 40.00
LAMPA CUCHARA SANTUL                                                                                ,3,17.46,S/ 20.60,5.54,
LAMPA CUCHARA TRAMONTINA                                                                            ,19,21.62,S/ 28.00,6.87,S/ 35.00
LAMPA CUCHARA TRUPER                                                                                ,5,17.71,S/ 20.90,5.62,
LAMPA RECTA BELLOTA,,,S/ 28.00,, 
LAMPA RECTA TRUPER                                                                                  ,2,20.34,S/ 27.50,6.46,
LAMPITA                                                                                             ,-1,0.00,S/ 0.00,0.00,
LAPIZ CARPINTERO                                                                                    ,46,0.26,S/ 0.31,0.08,
LAVA VAJILLA LIMON 900 GR. SAPOLIO                                                                  ,6,3.98,S/ 4.70,1.26,
LAVATORIO BLANCO FONTANA                                                                            ,4,30.30,S/ 53.50,9.62,
LAVATORIO MANANTIAL BLANCO TREBOL                                                                   ,1,62.53,S/ 73.79,19.86,
LAVATORIO MANCORA BLANCO TREBOL                                                                     ,2,27.01,S/ 58.50,8.58,
LAVATORIO MANCORA BONE TREBOL                                                                       ,1,37.71,S/ 44.50,11.98,
LEJIA 1 LT. DERQUSA                                                                                 ,7,4.66,S/ 5.50,1.48,
"LEJIA 7,5% 3.5 LT. AROLIT                                                                           ",1,5.51,S/ 6.50,1.75,
LEJIA AL 5% (3.785 LT). MARTELL                                                                     ,3,7.20,S/ 8.50,2.29,
LEJIA CONCENTRADA AL 4%  1GLN. MARTELL                                                              ,3,5.62,S/ 6.63,1.78,
LEJIA CONCENTRADA AL 5.5% 1LT. LOSARO                                                               ,11,1.45,S/ 1.71,0.46,
"LEJIA CONCENTRADA AL 5.5% 3,30 GLN. LOSARO                                                          ",41,6.25,S/ 7.37,1.58,
LEJIA CONCENTRADA GLN.                                                                              ,14,7.63,S/ 9.00,1.93,
LEJIA CONCENTRADA GLN. SAPOLIO                                                                             ,,,S/ 11.58,,
LEJIA DOMESTICA 5% 1GLN REYES                                                                       ,-2,3.81,S/ 4.50,1.21,
LEJIA GLN. AROMIX                                                                                   ,13,5.08,S/ 6.00,1.29,
LENTES ECO LUNA CLARA/3M                                                                            ,11,5.08,S/ 6.00,1.61,
LENTES PROTECTORES TRANSPARENTES                                                                    ,40,2.36,S/ 2.79,0.75,
LIJA AL AGUA 100 ASALITE                                                                            ,80,0.67,S/ 0.79,0.21,
LIJA AL AGUA 1000 ABRALIT                                                                           ,-3,0.00,S/ 0.00,0.00,
LIJA AL AGUA 120 ASALITE                                                                            ,-119,0.00,S/ 0.00,0.00,
LIJA AL AGUA 150 ASALITE                                                                            ,-2,0.00,S/ 1.20,0.00,
LIJA AL AGUA 280 ASALITE                                                                            ,-18,0.00,S/ 1.60,0.00,
LIJA AL AGUA 320 ASALITE                                                                            ,-16,0.00,S/ 1.60,0.00,
LIJA AL AGUA 360 ASALITE                                                                            ,69,0.52,S/ 1.60,0.17,
LIJA AL AGUA 600 ASALITE                                                                            ,-2,0.00,S/ 1.60,0.00,
LIJA AL AGUA 80 ABRALIT                                                                             ,-1,0.00,S/ 0.00,0.00,
LIJA AL AGUA 80 ASALITE                                                                             ,-30,0.00,S/ 0.00,0.00,
LIJA DE MADERA 180 ASALITE                                                                          ,-4,0.00,S/ 0.00,0.00,
LIJA DE MADERA 60 ASALITE                                                                           ,-2,0.00,S/ 0.00,0.00,
LIJA FIERRO METAL 100 ASALITE                                                                       ,4,1.19,S/ 1.95,0.38,
LIJA FIERRO METAL 120 ASALITE                                                                       ,-10,0.00,S/ 1.95,0.00,
LIJA FIERRO METAL 150 ASALITE                                                                       ,,,S/ 1.56,,
LIJA FIERRO METAL 180 ASALITE                                                                       ,93,0.78,S/ 0.92,0.25,
LIJA FIERRO METAL 180 NORTON                                                                        ,26,1.36,S/ 1.60,0.43,
LIJA FIERRO METAL 40 ABRALIT                                                                        ,,,S/ 2.24,,
LIJA FIERRO METAL 40 ASALITE                                                                        ,47,2.35,S/ 2.00,0.75,
LIJA FIERRO METAL 50 ASALITE                                                                        ,48,1.97,S/ 2.44,0.62,
LIJA FIERRO METAL 60 ASALITE                                                                   ,224,1.34,S/ 2.50,0.43,
LIJA FIERRO METAL 60 ASALITE        (REYES)                                                                ,10,1.48,S/ 1.75,0.38,
LIJA FIERRO METAL 80 ASALITE                                                                        ,-13,1.50,S/ 1.68,0.48,
LIJA FIERRO METAL 80 NEGRA TRUPER                                                                         ,,,S/ 2.77,,
LIJA FIERRO METAL 80 NORTON                                                                         ,39,1.52,S/ 1.79,0.38,
LIJA FIERRO MULTILIJA 40 ABRALIT                                                                    ,33,1.46,S/ 1.72,0.46,
LIJADORA DE  TECHO FROTACHO,,,S/ 9.00,,S/ 15.00
LIMA BELLOTA NRO 9,,,S/ 17.00,,S/ 22.00
LIMA REDONDO N.- 8 NICHOLSON                                                                     ,-2,0.00,S/ 11.50,0.00,S/ 16.00
LIMA TRIANGULAR N.- 8 NICHOLSON                                                                     ,26,7.08,S/ 9.00,2.25,S/ 13.00
LIMPIA MUEBLE X 260ML AMARILLO MARTELL                                                              ,6,5.10,S/ 6.02,1.62,
LIMPIA MUEBLE X 260ML ROJO MARTEL                                                                   ,12,5.05,S/ 5.96,1.60,
LIMPIA TODO BEBE 250 ML. SAPOLIO                                                                    ,10,0.74,S/ 0.87,0.23,
LIMPIA TODO BEBE 900 ML. DKL                                                                        ,2,2.68,S/ 3.16,0.85,
LIMPIA TODO BEBE BOT* 260 ML                                                                        ,7,0.76,S/ 0.90,0.24,
LIMPIA TODO FLORAL 250 ML. SAPOLIO                                                                  ,12,0.73,S/ 0.86,0.23,
LIMPIA TODO FLORAL BOT* 260 ML.                                                                     ,4,0.76,S/ 0.90,0.24,
LIMPIA TODO FRUT 900 ML. DKL                                                                        ,3,2.68,S/ 3.16,0.85,
LIMPIA TODO LAVANDA 250 ML. SAPOLIO                                                                 ,6,0.76,S/ 0.90,0.24,
LIMPIA TODO LAVANDA 360 ML. SAPOLIO                                                                 ,6,1.67,S/ 1.97,0.53,
LIMPIA TODO LAVANDA 900 ML. DKL                                                                     ,5,2.68,S/ 3.16,0.85,
LIMPIA TODO LAVANDA BOT*260ML.                                                                      ,8,0.76,S/ 0.90,0.24,
LIMPIA TODO MANZANA 250 ML. SAPOLIO                                                                 ,12,0.73,S/ 0.87,0.23,
LIMPIA TODO ROSAS 900 ML. SAPOLIO                                                                   ,3,4.23,S/ 4.99,1.34,
LIMPIA VIDRIO 1 GLN. LOSARO                                                                         ,2,5.68,S/ 6.70,1.80,
LIMPIA VIDRIO 3.8 LT. AROMIX                                                                        ,2,5.09,S/ 6.00,1.61,
LIMPIA VIDRIO 600 ML. LOSARO                                                                        ,15,3.41,S/ 4.02,1.08,
LIMPIA VIDRIO 650 ML. TOLBRIN                                                                       ,-1,0.00,S/ 0.00,0.00,
LIMPIA VIDRIO AROLIT c. 650 ml                                                                      ,2,2.54,S/ 3.00,0.86,
LIMPIA VIDRIO C/GATILLO (630ML.) MARTELL                                                            ,27,4.96,S/ 5.86,1.58,
LIMPIA VIDRIO C/GATILLO (630ML.) SAPOLIO                                                            ,5,5.07,S/ 5.98,1.61,
LIMPIA VIDRIO DOYPACK  (500ML.) SAPOLIO                                                             ,20,1.97,S/ 2.32,0.62,
LIMPIA VIDRIO SPRAY 1 LT. LOSARO                                                                    ,4,3.04,S/ 3.59,0.97,
LIMPIADOR DE MUEBLES MELAMINE AMARILLO 260 ML MARTELL                                               ,5,5.85,S/ 6.90,1.86,
LINTERNA 5WAHT,,,S/ 18.00,,
LINTERNA ELECTRICA 04 LED POWER                                                                     ,5,11.02,S/ 13.00,3.50,
LINTERNA FRONTAL 7LED,10,7.68,S/ 5.50,2.44,
LINTERNA FRONTAL RECARGABLE BLISTER                                                                 ,,,S/ 8.50,,
LINTERNA PLASTICA LEDS 60LM                                                                         ,3,24.58,S/ 29.00,7.80,
LINTERNA PLASTICA LEDS 80LM                                                                         ,3,19.49,S/ 23.00,6.19,
LINTERNA RECARGABLE LED HL                                                                          ,3,10.32,S/ 12.18,3.28,
LIQUIDO AFLOJATODO 54ML ADEX                                                                        ,10,2.54,S/ 3.00,,S/ 6.00
LISTONES  1 x 1 1/2 x 3 MT                                                                          ,7,2.12,S/ 2.50,0.67,
LISTONES 1 x 2 x 3 MT ROBLE                                                                         ,2,2.97,S/ 3.50,0.94,
LISTONES 2 x 2 x 3 MT ROBLE                                                                         ,9,5.51,S/ 6.50,1.75,
LISTONES 2 x 3 x 3 MT ROBLE                                                                         ,4,11.86,S/ 14.00,3.77,
LLANTA P/CARRETILLA BUGUI                                                                           ,2,17.80,S/ 21.00,5.65,
LLANTA P/CARRETILLA C/ARO                                                                           ,9,24.86,S/ 29.33,7.89,
LLANTA P/CARRETILLA LIVIANANS                                                  ,-3,0.00,S/ 38.00,0.00,
LLAVE ALLENS 6 MM                                                                                   ,7,2.55,S/ 3.70,0.72,
LLAVE CHUCK 13MM                                                                                    ,12,1.61,S/ 1.90,0.41,
"LLAVE DE DUCHA 1/2"" ACRILICA FAVINSA                                                                ",14,19.87,S/ 23.44,6.31,
"LLAVE DE DUCHA 1/2"" CROMADO FAVINSA                                                                 ",4,16.53,S/ 19.50,5.25,S/ 28.00
"LLAVE DE DUCHA 1/2"" ITALGRIF                                                     ",,,S/ 48.00,,
"LLAVE DE DUCHA 1/2"" VAINSA ACRILICA                                                                 ",-5,0.00,S/ 0.00,0.00,
"LLAVE DE PASO 1"" PVC C/R CYA                                                                            ",5,7.06,S/ 5.00,2.24,S/ 12.00
"LLAVE DE PASO 1"" PVC ECONOMICO                                                                 ",,,S/ 5.00,,
"LLAVE DE PASO 1/2""  C/UNON UNIVERSAL PVC                                                            ",11,11.02,S/ 13.00,3.50,
"LLAVE DE PASO 1/2"" METAL CINVAL                                                                     ",-2,0.00,S/ 19.00,0.00,
"LLAVE DE PASO 1/2"" PVC C/R                                                                          ",9,3.43,S/ 4.05,0.87,
"LLAVE DE PASO 1/2"" PVC C/R CONCYSSA                                                                 ",-1,4.24,S/ 6.50,1.35,S/ 12.00
"LLAVE DE PASO 1/2"" PVC C/R PAVCO                                                                    ",38,2.40,S/ 4.50,0.61,
"LLAVE DE PASO 1/2"" PVC S/R                                                                          ",2,1.59,S/ 1.88,0.51,
"LLAVE DE PASO 3/4"" PVC C/R                                                                          ",18,1.74,S/ 2.05,,
"LLAVE DE PASO 3/4"" PVC C/R  CONCYSSA                                                                         ",,,S/ 9.00,,S/ 20.00
"LLAVE DE PASO DE 1 1/2"" PVC C/R C & A                                                               ",6,10.85,S/ 12.80,3.44,
"LLAVE DE PASO DE 1"" METAL                                                                           ",-2,0.00,S/ 0.00,0.00,
"LLAVE DE PASO DE 1/2"" METAL ITALY                                                                   ",-4,0.00,S/ 0.00,0.00,
"LLAVE DE PASO DE 2"" PVC C/R CYA                                                                         ",-3,0.00,S/ 14.00,0.00,S/ 24.00
"LLAVE DE PASO DE 3"" PVC S/R                                                                         ",3,38.14,S/ 45.00,12.11,
"LLAVE DE PASO DE 3/4"" METAL                                                                         ",-1,0.00,S/ 0.00,0.00,
LLAVE DE RUEDA EN CRUZ KIN                                                                          ,2,11.87,S/ 14.00,3.77,
"LLAVE ESFERICA 3/4"" CIMVALL                                                                         ",23,33.90,S/ 40.00,10.76,
"LLAVE ESFERICA BRONCE 1/2"" KITZ                                                                     ",11,15.68,S/ 18.50,4.98,
"LLAVE ESFERICA BRONCE 3/4"" HYDRA                                                                    ",-1,0.00,S/ 0.00,0.00,
"LLAVE ESFERICA P/JARDIN 1/2"" VALMAX                                                                 ",-1,0.00,S/ 0.00,0.00,
"LLAVE FRANCESA 08"" CROMADA TRUPER                                                                   ",6,9.93,S/ 11.72,3.15,
"LLAVE FRANCESA 10""                                                                                  ",3,9.30,S/ 10.97,2.95,
"LLAVE FRANCESA 12""                                                                                  ",1,10.59,S/ 12.50,3.36,
"LLAVE FRANCESA AMA.10"" KAMASA                                                                       ",6,8.90,S/ 10.50,2.83,
"LLAVE FRANCESA AMA.6"" KAMASA                                                                        ",6,4.92,S/ 5.80,1.56,
"LLAVE FRANCESA AMA.8"" KAMASA                                                                        ",5,5.93,S/ 7.00,1.88,
LLAVE MIXTA 10MM KAMASA                                                                             ,22,1.97,S/ 2.32,0.63,
LLAVE MIXTA 11MM                                                                                    ,60,2.10,S/ 2.10,0.64,
LLAVE MIXTA 13MM ALMOS                                                                              ,8,1.94,S/ 2.80,0.62,
LLAVE MIXTA 13MM KAMASA                                                                             ,22,2.49,S/ 2.94,0.79,
LLAVE MIXTA 14MM KAMASA                                                                             ,34,2.76,S/ 3.26,0.88,
LLAVE MIXTA 15MM                                                                                    ,12,2.12,S/ 2.50,0.54,
LLAVE MIXTA 17M                                                                                     ,22,3.65,S/ 4.31,1.16,
LLAVE MIXTA 19MM                                                                                    ,22,4.22,S/ 4.33,1.34,S/ 7.00
LLAVE MIXTA 22MM                                                                                    ,12,5.93,S/ 7.00,1.88,
LLAVE MIXTA 6MM TRUPER                                                                              ,12,2.55,S/ 3.01,0.81,
LLAVE MIXTA 7MM TRUPER                                                                              ,12,2.64,S/ 3.12,0.84,
LLAVE MIXTA 8MM                                                                                     ,9,1.86,S/ 2.20,0.59,
LLAVE MIXTAS 11 PZAS MM TRUPER                                                                      ,2,45.27,S/ 53.42,11.89,
LLAVE MULTIUSOS                                                                                     ,1,15.14,S/ 17.87,4.81,
LLAVE P/AMOLADORA 41/2,,,S/ 2.30,,
"LLAVE P/AMOLADORA 7""",,,S/ 3.52,,
LLAVE P/BANDA DE HULE P/FILTRO DE ACEITE                                                            ,2,52.16,S/ 61.55,13.70,
LLAVE P/URINARIO                                                                                    ,-2,0.00,S/ 0.00,0.00,
LLAVE PARA CAJA DE AGUA                                                                             ,-1,0.00,S/ 0.00,0.00,
"LLAVE PARA LAVADERO DE 1/2"" METAL FAGRISUR                                                          ",8,10.59,S/ 12.50,3.36,
"LLAVE PARA LAVADERO DE 1/2"" METAL FAVINSA                                                           ",4,11.86,S/ 14.00,3.77,
LLAVE RATCHET 1/2 X 18MM KAMASA                                                                     ,3,13.98,S/ 16.50,4.44,
"LLAVE STILSON  10""                                                                              ",,,S/ 18.00,,
"LLAVE STILSON  12""                                                                              ",,,S/ 22.20,,
"LLAVE STILSON  12""  32MM APERT MAKAWA                                                                   ",3,22.88,S/ 27.00,7.27,S/ 35.00
"LLAVE STILSON  12""  32MM APERT PRETUL                                                                   ",,,,,S/ 38.00
"LLAVE STILSON  AZUL NARANJA.10""                                                                              ",,,S/ 17.80,,
"LLAVE STILSON  AZUL NARANJA.12""                                                                              ",,,S/ 22.21,,
"LLAVE STILSON  NAR.10""                                                                              ",2,11.61,S/ 13.70,3.69,
"LLAVE STILSON  NAR.12""                                                                              ",1,10.59,S/ 12.50,3.36,
"LLAVE STILSON  NAR.8""                                                                               ",8,9.44,S/ 11.14,662.23,
LLAVE TERMICA 2 X 16 STRONGER(NUEVA ERA)                                                            ,,,S/ 13.20,,S/ 20.00
LLAVE TERMICA 2 X 20 BTICINO                                                                        ,6,21.19,S/ 29.00,6.73,S/ 48.00
LLAVE TERMICA 2 X 20 STRONGER(NUEVA ERA)                                                            ,5,8.47,S/ 13.20,2.69,S/ 20.00
LLAVE TERMICA 2 X 25 BTICINO                                                                        ,-2,0.00,S/ 29.00,0.00,S/ 48.00
LLAVE TERMICA 2 X 25 STRONGER(NUEVA ERA)                                                            ,,,S/ 13.20,,S/ 20.00
LLAVE TERMICA 2 X 32 BTICINO                                                                        ,,,S/ 29.00,,S/ 48.00
LLAVE TERMICA 2 X 32 BTICINO                                                                        ,4,23.73,S/ 28.00,7.54,
LLAVE TERMICA 2 X 32 STRONGER(NUEVA ERA)                                                            ,5,8.47,S/ 13.20,2.69,S/ 20.00
LLAVE TERMICA 2 X 32 STRONGER(NUEVA ERA)                                                            ,,,S/ 16.00,,
LLAVE TERMICA 2 X 40 CBB                                                                            ,4,4.24,S/ 5.00,1.35,
LLAVE TERMICA 2 X 40 STRONGER(NUEVA ERA)                                                            ,-1,0.00,S/ 13.80,0.00,
LLAVES ALLEN 8 PZAS LLAVERO TRUPER                                                                  ,12,2.64,S/ 3.12,0.84,
LUBRICANTES                                                                                         ,6,15.25,S/ 18.00,4.84,
LUNA #12 P/SOLDAR                                                                                   ,-2,0.00,S/ 0.00,0.00,
LUNA DE VIDRIO P/SOLDAR,,,S/ 1.80,,S/ 3.00
LUSTRA MUEBLES LAVANDA SPRAY 360ML INTRA PREMIO                                                     ,19,6.75,S/ 7.97,2.14,S/ 14.00
LUSTRA MUEBLES LIMON SPRAY 360ML INTRA PREMIO                                                       ,6,6.27,S/ 7.40,1.99,S/ 14.00
MACHETE                                                                                             ,-5,0.00,S/ 18.00,0.00,
MACHOS SEMICONICO 1/4X20 5 PZAS ROSCA TRUPER                                                        ,3,7.52,S/ 8.87,2.39,
MACHOS SEMICONICOS 3/8X16 ROSCA                                                                     ,3,14.08,S/ 16.61,4.47,
MACHOS SEMICONICOS 5/16X18 5 PZAS TRUPER                                                            ,3,10.33,S/ 12.19,3.28,
MALLA ARPILLERA                                                                                     ,5,5.08,S/ 6.00,1.61,
MALLA ARPILLERA IMPORTADO                                                                                     ,,,S/ 4.00,,
MALLA ARPILLERA NACIONAL                                                                                   ,,,S/ 3.50,,
MALLA CERCADERA NARANJA                                                                             ,2,29.66,S/ 35.00,9.42,
"MALLA CUADRADA 1/2"" PLASTIFICADA                                                                    ",1,123.04,S/ 145.19,39.07,
MALLA DE NYLON 0.90x30M - VERDE                                                                     ,24,1.69,S/ 2.00,0.54,
MALLA DE NYLON 1.2x30M - VERDE                                                                      ,6,2.12,S/ 2.50,0.67,
MALLA GALVANIZADA 25METROS,,,S/ 95.00,,
"MALLA PLASTIFICADA VERDE 1/2""                                                                       ",,,S/ 200.00,,
"MALLA PLASTIFICADA VERDE 1/2""                                                                       ",2,72.88,S/ 190.00,23.14,S/ 8.50
"MALLA PLASTIFICADA VERDE 1/2"" SEMIPESADA                                                                      ",,,S/ 190.00,,
"MALLA PLASTIFICADA VERDE 3/4""                                                                       ",2,83.05,S/ 205.00,26.37,S/ 9.00
"MALLA PLASTIFICADA VERDE 3/8""                                                                       ",,,S/ 200.00,,S/ 9.00
"MALLA PLASTIFICADA VERDE 3/8"" PESADA                                                                       ",,,S/ 220.00,,
"MALLA PLASTIFICADA VERDE 3/8"" SEMIPESADA                                                                      ",,,S/ 195.00,,
"MALLA PVC DE 25KG 1/2""                                                                              ",30,6.21,S/ 7.33,1.97,
MALLA RASCHEL 80%  ROLLO                                                                                  ,132,5.73,S/ 670.00,1.82,
MANGA PLASTICO X KG.                                                                                ,355,3.39,S/ 4.00,1.08,
MANGA X MT.                                                                                         ,-139,0.00,S/ 0.00,0.00,
MANGO DE PICO,,,S/ 8.00,,
MANGO P/PICO,,,S/ 8.50,,
"MANGUERA 1"" ",,,S/ 195.00,,
"MANGUERA 1"" DUPLEX - PLASTICA                                                                       ",-40,0.00,S/ 0.00,0.00,
"MANGUERA 1/4"" DUPLEX                                                                                ",88,0.17,S/ 0.20,0.05,
"MANGUERA 3/8"" AUTOMOTRIZ 2M                                                                         ",100,0.25,S/ 0.30,0.08,
"MANGUERA 3/8"" AUTOMOTRIZ ROLLO                                                        ",-6,0.00,S/ 82.00,0.00,
"MANGUERA 3/8"" GAS AZUL 2M                                                                        ",97,0.76,S/ 0.90,0.24,S/ 2.00
"MANGUERA 3/8"" NIVEL LIVIANA                                                                         ",-10,0.00,S/ 0.00,0.00,
"MANGUERA 5/8"" DUPLEX                                                                                ",-57,0.00,S/ 115.00,0.00,
"MANGUERA 5/8"" LIVIANA ROLLO",,,S/ 82.00,,
"MANGUERA 5/8"" PESADA ROLLO",,,S/ 130.00,,
"MANGUERA 5/8"" PLASTINILLO  ROLLO                                                                              ",83,0.42,S/ 110.00,0.13,
"MANGUERA DE ABASTO METUSA 1/2""                                                                      ",-3,0.00,S/ 5.90,0.00,
"MANGUERA DE ABASTO METUSA 7/8""                                                                      ",-1,0.00,S/ 5.90,0.00,
MANGUERA DE INGRESO P/. LAVADORA X 3MTS.                                                            ,6,10.17,S/ 12.00,3.23,S/ 18.00
MANGUERA DE SALIDA P/. LAVADORA X 3MTS.                                                             ,6,9.32,S/ 11.00,2.96,S/ 18.00
MANGUERA P/LAVADORA COFLEX                                                                          ,6,12.26,S/ 14.47,3.89,
MANGUERA TIPO RESORTE P/COMPRESOR,,,S/ 31.29,,S/ 50.00
MANIJAS FORTE,,,S/ 58.00,,
MARCO PREPINTADO 32X65X2.12,,,S/ 65.50,,
MARTILLO 27 LIBRAS                                                                                  ,12,8.90,S/ 10.50,2.83,
MARTILLO 34. TRAMONTINA                                                             ,,,S/ 25.00,,
MARTILLO CHAPULIN NEGRO 12OZ,,,S/ 8.90,,
